Date,Day_of_the_week,App ,Minutes,Category
8/20/23,Sunday,HULU,191,Entertainment
8/20/23,Sunday,SAFARI,95,Other
8/20/23,Sunday,YOUTUBE,92,Entertainment
8/20/23,Sunday,MESSAGES,12,Social Media
8/20/23,Sunday,TUBI,11,Entertainment
8/21/23,Sunday,HULU,362,Entertainment
8/21/23,Monday,MESSAGES,181,Social Media
8/21/23,Monday,MUSIC,19,Entertainment
8/21/23,Monday,SAFARI,18,Other
8/21/23,Monday,DISNEY+,12,Entertainment
8/22/23,Tuesday,HULU,1024,Entertainment
8/22/23,Tuesday,MESSAGES,202,Social Media
8/22/23,Tuesday,AMAZON,6,Other
8/22/23,Tuesday,CLOCK,3,Other
8/22/23,Tuesday,SAFARI,1,Other
8/23/23,Wednesday,MESSAGES,350,Social Media
8/23/23,Wednesday,HULU,219,Entertainment
8/23/23,Wednesday,AMAZON,19,Other
8/23/23,Wednesday,PHOTOS,7,Entertainment
8/23/23,Wednesday,SAFARI,6,Other
8/24/23,Thursday,HULU,481,Entertainment
8/24/23,Thursday,MESSAGES,202,Social Media
8/24/23,Thursday,NETFLIX,16,Entertainment
8/24/23,Thursday,TEMU,7,Other
8/24/23,Thursday,SAFARI,5,Other
8/25/23,Friday,HULU,609,Entertainment
8/25/23,Friday,NETFLIX,183,Entertainment
8/25/23,Friday,MESSAGES,113,Social Media
8/25/23,Friday,SAFARI,11,Other
8/25/23,Friday,STREAM,11,Entertainment
8/26/23,Saturday,NETFLIX,247,Entertainment
8/26/23,Saturday,HULU,222,Entertainment
8/26/23,Saturday,MESSAGES,122,Social Media
8/26/23,Saturday,DISNEY+,19,Entertainment
8/26/23,Saturday,SAFARI,7,Other